icd9	icd10	description
401.9	I10	Essential (primary) hypertension
38.93	NA	NA
428.0	I50.9	Heart failure unspecified
427.31	I48.91	Unspecified atrial fibrillation
414.01	I25.10	Atherosclerotic heart disease of native coronary artery without angina pectoris
96.04	NA	NA
96.6	NA	NA
584.9	N17.9	Acute kidney failure unspecified
250.00	E11.9	Type 2 diabetes mellitus without complications
96.71	NA	NA
272.4	E78.5	Hyperlipidemia unspecified
518.81	J96.00	Acute respiratory failure unspecified whether with hypoxia or hypercapnia
99.04	NA	NA
39.61	NA	NA
599.0	N39.0	Urinary tract infection site not specified
530.81	K21.9	Gastro-esophageal reflux disease without esophagitis
96.72	NA	NA
272.0	E78.0	Pure hypercholesterolemia
285.9	D64.9	Anemia unspecified
88.56	NA	NA
244.9	E03.9	Hypothyroidism unspecified
486	J18.9	Pneumonia unspecified organism
38.91	NA	NA
285.1	D62	Acute posthemorrhagic anemia
36.15	NA	NA
276.2	E87.2	Acidosis
496	J44.9	Chronic obstructive pulmonary disease unspecified
99.15	NA	NA
995.92	R65.20	Severe sepsis without septic shock
V58.61	Z79.01	Long term (current) use of anticoagulants
507.0	J69.0	Pneumonitis due to inhalation of food and vomit
038.9	A41.9	Sepsis unspecified organism
88.72	NA	NA
585.9	N18.9	Chronic kidney disease unspecified
403.90	I12.9	Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease or unspecified chronic kidney disease
311	F32.9	Major depressive disorder single episode unspecified
305.1	F17.200	Nicotine dependence unspecified uncomplicated
37.22	NA	NA
412	I25.2	Old myocardial infarction
33.24	NA	NA
39.95	NA	NA
287.5	D69.6	Thrombocytopenia unspecified
410.71	I21.4	Non-ST elevation (NSTEMI) myocardial infarction
276.1	E87.1	Hypo-osmolality and hyponatremia
V45.81	Z95.1	Presence of aortocoronary bypass graft
424.0	I34.0	Nonrheumatic mitral (valve) insufficiency
45.13	NA	NA
V15.82	Z87.891	Personal history of nicotine dependence
511.9	J91.8	Pleural effusion in other conditions classified elsewhere
37.23	NA	NA
